Scheme Name,Address,Tags,Description,1-Bedroom,2-Bedroom,3-Bedroom,Studio,Private Room,Station Info,City
Canalside,"Whitworth Way, Wigan, Wigan, WN6 7QF","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Canalside offers residents with the best living conditions with high-class amenities and some city's best entertainment locations just within walking distance.,,625.0,750.0,,,"['Wigan Wallgate | 1.1 mi', 'Wigan North Western | 1.2 mi']",Manchester
Our Lady's,"Wicheaves Crescent, Salford, Manchester, M28 0HF","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Our Lady's offers residents with family-friendly homes with easily accessible transportation to explore the surroundings and experience a variety of activities.,,655.0,800.0,,,['Walkden | 1.2 mi'],Manchester
Holyoake Road,"Holyoake Road, Salford, Manchester, M28 3DL","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']","Holyoake Road offers residents with cosy homes and apartments with a town centre that is great for shopping, food, socialising and leisuring.",,680.0,830.0,,,"['Walkden | 0.2 mi', 'Moorside | 1.7 mi']",Manchester
Heyfields,"Manchester Road, Salford, Manchester, M28 3WD","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Heyfields offers residents with family-friendly houses and apartments that are set in a picturesque location and within reach of the city centre.,540.0,640.0,820.0,,,"['Walkden | 0.7 mi', 'Kearsley | 1.3 mi']",Manchester
The Rock,"Bury High Street, Bury, Bolton, BL9 0ND","['Concierge', 'Onsite maintenance', 'Onsite management', 'Parking', 'Parcel collection & storage']",The Rock offers Bolton residents an abundance of places to visit when you are not staying in your beautiful spacious apartments.,710.0,760.0,,,,[],Manchester
Pomona Wharf,"Waterways Avenue, Manchester, Manchester, M15 4GY","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']",Pomona Wharf offers new spacious apartments that overlook the beautiful city centre and waterside views.,800.0,940.0,1345.0,,,"['Deansgate | 0.6 mi', 'Salford Central | 0.9 mi']",Manchester
Empyrean,"Clarence Street, Salford, Manchester, M7 1GA","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Empyrean offers residents with beautifully furnished apartments that gets you the best of both worlds, from your privacy to the bustling heart of the city centre.",825.0,755.0,875.0,,,"['Salford Central | 0.9 mi', 'Salford Crescent | 0.9 mi']",Manchester
The Slate Yard,"7 Stanley Street, Salford, Manchester, M3 5EX","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","The Slate Yard is a Build To Rent development in Salford, completed in 2017 with exclusive amenities and life-changing experiences.",965.0,1250.0,1800.0,,,"['Salford Central | 0.1 mi', 'Deansgate | 0.5 mi']",Manchester
Skyline II,"10-12 Rochdale Road, Manchester, Manchester, M4 4JR","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",Skyline II offers well-furnished apartments with an abundance of amenities to create a unique living experience at a new Built To Rent in Manchester.,980.0,1225.0,,,,"['Manchester Victoria | 0.4 mi', 'Manchester Piccadilly | 0.7 mi']",Manchester
Tribe Apartments,"Firbeck Drive, Manchester, Manchester, M4 7JF","['Furnished', 'Parking', 'Bike storage', 'CCTV', 'Controlled access']",Tribe Apartment offers residents with the best living conditions with high-class amenities and some city's best entertainment locations just within walking distance.,925.0,925.0,,,,"['Manchester Piccadilly | 0.7 mi', 'Ardwick | 1.0 mi']",Manchester
Baytree Lane,"Liverty Close, Rochdale, Manchester, M24 2YR","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Baytree Lane offers residents with the most exclusive houses with various engaging activities and opportunities to explore the city.,,700.0,785.0,,,"['Mills Hill | 0.2 mi', 'Moston | 1.8 mi']",Manchester
Durban Mill,"Pretoria Road, Oldham, Oldham, OL8 4NH","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Durban Mill offers resident cosy homes that have everything right by the doorsteps from entertainment to education.,,670.0,750.0,,,[],Manchester
Coral Mill,"Brick Mill Close, Rochdale, Oldham, OL16 3FQ","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']","Coral Mill offers residents with cosy homes and apartments with a town centre that is great for shopping, food, socialising and leisuring.",,750.0,770.0,,,"['Smithy Bridge | 2.4 mi', 'Rochdale | 2.5 mi']",Manchester
Angel Gardens,"1 Rochdale Road, Manchester, Manchester, M4 4GE","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",Angel Gardens offers stunning interior and amenities in the heart of Manchester that give residents the experience of a high-class living experience.,1525.0,1600.0,2150.0,1000.0,,"['Manchester Victoria | 0.4 mi', 'Manchester Piccadilly | 0.7 mi']",Manchester
Anco&co,"13 Blossom Street, Manchester, Manchester, M4 5AF","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']",Anco&co offers high-class apartments with unforgettable services and life-changing experiences in the heart of Manchester city.,930.0,1360.0,2130.0,,,"['Manchester Piccadilly | 0.5 mi', 'Manchester Victoria | 0.5 mi']",Manchester
West Tower,"Deansgate Square, 371 Deansgate, Manchester, Manchester, M15 4UP","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",West Tower offers well-furnished apartments with an abundance of amenities to create a unique living experience at a new Built To Rent in North West Manchester.,1150.0,1480.0,2150.0,,,"['Deansgate | 0.0 mi', 'Manchester Oxford Road | 0.4 mi']",Manchester
The Green Rooms,"Leader House, Media City UK, Salford, Manchester, M50 2AG","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']",The Green Rooms offer stylish apartments that is within a desirable and unique central location.,960.0,1350.0,1675.0,,,[],Manchester
Roch Bank,"Nile Street, Rochdale, Oldham, Ol16 2JQ","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']","Roch Bank located in the foothills of Pennies,where residents are given easy access to local amenities and transport links to the city centre.",,615.0,700.0,,,['Rochdale | 0.6 mi'],Manchester
Belmont Place,"Garvin Jones Grove, Wigan, Wigan, WN2 4XS","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Belmont Place offers family-friendly homes that are within walking distance from many transport links and excellent retail and leisure facilities.,,640.0,740.0,,,"['Hindley | 2.2 mi', 'Daisy Hill | 2.3 mi']",Manchester
Cambridge Street,"Cambridge Street, Manchester, Manchester, M15 6DF","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']",Cambridge Street offers well-furnished apartments with an abundance of amenities to create a unique living experience at a new Built To Rent in Manchester.,1050.0,1384.0,1495.0,,,"['Manchester Oxford Road | 0.1 mi', 'Deansgate | 0.3 mi']",Manchester
Bank Top,"Heywood, Rochdale, Oldham, OL10 4PP","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Bank Top offers residents modern lifestyles through the family-friendly homes and lovely villages with fantastic sites.,,650.0,760.0,,,[],Manchester
The Depot,"Whalley Range, Manchester, Manchester, M14 7JR","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']","The Depot offers well managed, contemporary, fully furnished and spacious apartments that are environmentally friendly.",825.0,895.0,,,,[],Manchester
The Astley,"61 Houldsworth St, Manchester, Manchester, M1 2FA","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","The Astley offers a life amid the stunning backdrop of Manchester, where effortless style and convenience are just within a striking distance.",950.0,1120.0,1895.0,850.0,,"['Manchester Piccadilly | 0.4 mi', 'Manchester Victoria | 0.6 mi']",Manchester
Adelphi Wharf,"Trinity Riverside, Salford, Manchester, M3 6DZ","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']",Adelphi Wharf gives residents the feel of a high-class lifestyle in the heart of Salford with an unforgettable view of the River Irwell.,725.0,875.0,1200.0,600.0,,"['Minot, ND | 1.6 mi']",Manchester
Royd Mill,"Millbank Close, Oldham, Oldham, OL8 4AW","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Royd Mill offers residents with family-friendly homes that are within close proximity of transport links and the city centre.,,625.0,750.0,,,[],Manchester
Hamilton Square,"Flapper Fold Lane, Wigan, Manchester, M46 0FA","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Hamilton Square offers residents sustainable homes with easy commutes to many transportation options.,,660.0,750.0,,,"['Hag Fold | 0.6 mi', 'Atherton | 0.6 mi']",Manchester
New Broughton,"Camp Street, Salford, Manchester, M7 2XW","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",New Broughton offers family-friendly homes with easy commutes and access to an abundance of activities and areas to roam around.,,800.0,895.0,,,"['Salford Crescent | 0.9 mi', 'Salford Central | 1.1 mi']",Manchester
Hilton Park,"Chadwick Street, Wigan, Wigan, WN7 1RL","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Hilton Park offers an abundance of places for residents to visit while relaxing in their spacious homes and apartments in a suburb town in Wigan.,495.0,625.0,730.0,,,[],Manchester
Rochwood Rise,"Entwisle Road, Rochdale, Oldham, OL16 2LJ","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Rochwood Rise offers residents with family-friendly homes that residents can benefit from instant access to transport links and different exciting amenities.,,875.0,950.0,,,"['Rochdale | 0.9 mi', 'Smithy Bridge | 1.4 mi']",Manchester
Brookside Grange,"Roch Street, Rochdale, Oldham, OL16 2NB","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Brookside Grange contemporary homes and apartments that are within walking distance from different amenities and places.,490.0,850.0,730.0,,,"['Smithy Bridge | 1.2 mi', 'Rochdale | 1.2 mi']",Manchester
Norwich Green,"Norwich Street, Rochdale, Oldham, OL11 1LP","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Norwich Green offers residents with cosy homes that are just within walking distance from an abundance of amenities and transport links.,,615.0,715.0,,,['Rochdale | 0.2 mi'],Manchester
Reynolds Place,"Worsley Road North, Salford, Manchester, M28 3GJ","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Reynolds Place offers residents with the best family-friendly houses and apartments that offer a variety of activities and places to explore.,525.0,775.0,790.0,,,"['Walkden | 1.1 mi', 'Farnworth | 1.2 mi']",Manchester
Moorland’s Green,"Southbourne Street, Salford, Manchester, M6 5GX","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']","Moorland's Green offers beautifully designed houses in the centre of Salford, just walking distance from many shopping centres and fun activities.",,725.0,775.0,,,['Salford Crescent | 1.0 mi'],Manchester
Havenswood,"Barton Lane, Salford, Manchester, M30 0HH","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Havenswood offers residents apartments and houses besides a beautiful scenery of the Manchester Ship Canal with an abundance of leisure activities,545.0,665.0,875.0,,,"['Patricroft | 0.6 mi', 'Eccles | 0.7 mi']",Manchester
Harewood Close,"Durham Street, Rochdale, Oldham, OL11 1JZ","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Harewood Close offers residents cosy homes that are just walking distance away from associated leisure and work opportunities,,615.0,725.0,,,['Rochdale | 0.1 mi'],Manchester
Shrewsbury Close,"Tintern Road, Rochdale, Manchester, M24 6BZ","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Shrewsbury Close offers residents with the most high-class living experience with a variety of options from activities to constructing your own house.,,670.0,770.0,,,[],Manchester
Rose Street,"Rose Street, Oldham, Oldham, OL9 8JT","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Rose Street offers residents with sustainable and modern houses that are within close distance to the city centre and amenities.,,675.0,775.0,,,['Moston | 1.0 mi'],Manchester
Beehive Mill,"Crescent Road, Bolton, Bolton, BL3 2JU","['Pet friendly', 'Parking', 'Communal garden', 'Open plan kitchen', 'Fridge & freezer']",Beehive Mill offers residents with cosy homes that are within walking distance from Bolton city centre and transport links.,,625.0,735.0,,,"['Moses Gate | 0.7 mi', 'Bolton | 1.0 mi']",Manchester
The Mailbox,"1 Exchange St, Stockport, Stockport, SK3 0GA","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']",The Mailbox apartments offers an abundance of amenities and activities for residents to enjoy,800.0,1025.0,,,,"['Stockport | 0.1 mi', 'Davenport | 1.2 mi']",Manchester
Timber Wharf,"16-50 Worsley St, Manchester, Manchester, M15 4NZ","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']",Timber Wharf offers residents with beautifully furnished apartments that are within walking distance to a great community in Manchester.,795.0,1100.0,,,,"['Deansgate | 0.4 mi', 'Salford Central | 0.8 mi']",Manchester
The Chancel,"Grey Street, Bury, Manchester, M25 1RH","['Parking', 'Bike storage', 'Lifts', 'CCTV', 'Controlled access']",The Chancel offers an abundance of places for residents to visit while relaxing in their spacious apartments in a suburb town in Manchester.,,725.0,,,,[],Manchester
Anaconda Cut,"100 Greengate, Salford, Manchester, M3 7NG","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Anaconda Cut offers residents an abundance of cultural sights, sound and experience while living in a caring and luxurious apartment.",1300.0,1375.0,1795.0,,,"['Manchester Victoria | 0.3 mi', 'Salford Central | 0.4 mi']",Manchester
X1 Chapel Street,"Salford, Salford, Manchester, M3 5JZ","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in a prime area of Manchester, X1 Chapel Street offers furnished flats with a comprehensive range of in-house amenities to create a comfortable living experience.",,,,602.0,,"['Salford Central | 0.3 mi', 'Salford Crescent | 0.5 mi']",Manchester
X1 Media City,"11 Michigan Avenue, Salford, Salford, Manchester, M50 2HA","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in the heart of Manchester, Media City offers quality apartment to rent, allowing tenants to be a part of a vibrant community and enjoy convenient amenities along with stylish furniture.",815.0,1050.0,1600.0,,,"['Manchester United Football Ground (MUF) | 0.8 mi', 'Salford Crescent | 1.0 mi']",Manchester
Chips,"2 Lampwick Lane, New Islington, Manchester, Manchester, M4 6BU","['Pet friendly', 'Furnished', 'Parking', 'Bike storage', 'Lifts']","Chips offers well managed, contemporary, fully furnished and spacious apartments that are environmentally friendly.",650.0,850.0,,625.0,,"['Manchester Piccadilly | 0.5 mi', 'Ardwick | 0.8 mi']",Manchester
Budenberg Haus,"32 Woodfield Road, Altrincham, Trafford, Warrington, WA14 4ED","['Parking', 'Bike storage', 'Lifts', 'CCTV', 'Controlled access']","Located in a prized area of Warrington, Budenberg Haus offers furnished and unfurnished apartments with a comprehensive range of in-house amenities to create a comfortable living experience.",,1175.0,1340.0,,,"['Navigation Road | 0.5 mi', 'Altrincham | 0.7 mi']",Manchester
X1 The Campus,"30 Frederick Road, Salford, Salford, Manchester, M6 6NY","['Furnished', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']","A new Build To Rent in Manchester, X1 The Campus offers fully-furnished apartments with an abundance of amenities to create a unique living experience.",,,,719.0,,"['Salford Crescent | 0.3 mi', 'Salford Central | 1.1 mi']",Manchester
X1 Salford Quays,"Elmira Way, Salford, Manchester, M5 3NQ","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']","At the heart of Manchester, X1 Salford Quays offers a wide selection of furnished accommodations and convenient amenities for tenants to enjoy a promising living experience.",735.0,925.0,1200.0,,,"['Manchester United Football Ground (MUF) | 0.6 mi', 'Salford Crescent | 1.1 mi']",Manchester
New Islington,"Piercy Street, Manchester, Manchester, M4 6JL","['Pet friendly', 'Parking', 'Roof terrace', 'Communal garden', 'Smoke alarms']",New Islington offers new spacious and convenient apartments that overlook the beautiful city centre.,,,,,,"['Manchester Piccadilly | 0.7 mi', 'Ardwick | 0.9 mi']",Manchester
X1 The Plaza,"1 Advent Way, Ancoats, Manchester, Manchester, M4 7DB","['Furnished', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']",X1 The Plaza offers spacious apartments with beneficial amenities that overlook the beautiful city centre.,900.0,1200.0,1500.0,,,"['Manchester Piccadilly | 0.5 mi', 'Ardwick | 0.6 mi']",Manchester
X1 Town Hall,"Bexley Square, Salford, Manchester, M3 6DD","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']",X1 Town Hall offers spacious apartments with beneficial amenities that overlook the beautiful city centre.,880.0,1000.0,,800.0,,"['Salford Central | 0.2 mi', 'Salford Crescent | 0.7 mi']",Manchester
Irwell Riverside,"Springfield Lane, Salford, Salford, Manchester, M3 7JS","['Parking', 'Communal garden', 'Smoke alarms', 'Built-in wardrobe', 'Open plan kitchen']","Irwell Riverside offers a peaceful life amid the beautiful backdrop of Manchester, where effortless style meets convenience.",,1500.0,,,,"['Manchester Victoria | 0.4 mi', 'Salford Central | 0.4 mi']",Manchester
X1 Eastbank,"277 Great Ancoats Street, Manchester, Manchester, M4 7FE","['Pet friendly', 'Furnished', 'Onsite maintenance', 'Onsite management', 'Parking']","With an extensive range of modern facilities, this prime residential development in Manchester promises to give tenants comfortable living experiences.",875.0,1100.0,1200.0,,,"['Manchester Piccadilly | 0.4 mi', 'Ardwick | 0.6 mi']",Manchester
X1 Manchester Waters,"1 Pomona Strand, Trafford, Manchester, M15 4WD","['Furnished', 'Onsite maintenance', 'Onsite management', 'Parking', 'Bike storage']","Ideally located in the heart of Manchester, this development offers quality apartments to rent, allowing tenants to be part of a vibrant community and enjoy convenient amenities along with stylish furniture.",825.0,925.0,1375.0,675.0,,"['Manchester United Football Ground (MUF) | 0.6 mi', 'Deansgate | 1.2 mi']",Manchester
Princess Street Manchester,"121 Princess Street, Manchester, Manchester, M1 7AG","['Furnished', 'Onsite management', 'Parcel collection & storage', 'Lifts', 'CCTV']","Situated in the heart of Manchester, Princess Street is a co-living that offers attractive, convenient accommodations and beautiful green communal space.",,,,1600.0,1170.0,"['Manchester Oxford Road | 0.2 mi', 'Manchester Piccadilly Train Station | 0.3 mi']",Manchester
Corn Exchange,"98 Corporation Str, Manchester, Manchester, M4 4AJ","['Furnished', 'Concierge', 'Onsite management', 'Parcel collection & storage', 'Lifts']","Living in such a high-quality, well-located development, residents of Corn Exchange will have access to a host of first-class amenities, various points of interest and a picturesque surrounding landscape.",,,,,1950.0,"['Manchester Victoria | 0.2 mi', 'Salford Central | 0.5 mi']",Manchester
The Filaments,"Gore Street, Salford, Manchester, M3 5FP","['Pet friendly', 'Concierge', 'Onsite maintenance', 'Onsite management', 'Parking']","Located in Manchester, The Filaments is a build-to-rent that offers spacious living areas, good transportation and convenient amenities.",940.0,1165.0,1755.0,,,"['Salford Central | 0.1 mi', 'Deansgate | 0.6 mi']",Manchester
Richmond Hill,"52 St. Stephens Street, Salford, Manchester, M3 7ED","['Onsite maintenance', 'Parking', 'Bike storage', 'Lifts', 'CCTV']","Located in Manchester, Richmond Hill is a build-to-rent that offers generous living areas, beneficial amenities and access to public transport.",550.0,790.0,795.0,,,"['Salford Central | 0.4 mi', 'Manchester Victoria | 0.6 mi']",Manchester
Wensley Court,"Wensley Road, Salford, Manchester, M7 3QJ","['Onsite maintenance', 'Parking', 'Communal garden', 'Oven', 'Washing machine']","Located in Manchester, Wensley Court is a build-to-rent that offers spacious living areas, good transportation and convenient amenities.",445.0,485.0,,,,"['Clifton | 1.5 mi', 'Salford Crescent | 2.0 mi']",Manchester
St. Agnes Court,"65 Whalley Road, Middleton, Rochdale, Manchester, M24 6EE","['Parking', 'Common area', 'Communal garden', 'Open plan kitchen', 'Oven']","Located in Manchester, St. Agnes Court is a build-to-rent that offers attractive, convenient accommodations and beautiful green communal space.",,435.0,,,,[],Manchester
Ice Plant,"39 Blossom Street, Manchester, Manchester, M4 6AP","['Pet friendly', 'Furnished', 'Onsite management', 'Parking', 'Parcel collection & storage']","Located in Manchester, Ice Plant is a build-to-rent that offers generous living areas, beneficial amenities and access to public transport.",965.0,1150.0,1600.0,,,"['Manchester Piccadilly Train Station | 0.5 mi', 'Manchester Victoria | 0.6 mi']",Manchester
LOCAL Blackfriars,"41 Blackfriars Rd, Manchester, Manchester, M3 7DA","['Pet friendly', 'Furnished', 'Concierge', 'Onsite maintenance', 'Onsite management']","Located in Manchester, LOCAL Blackfriars is a build-to-rent that promises safety, support and additional benefits for tenants.",875.0,1075.0,,,,"['Salford Central | 0.2 mi', 'Manchester Victoria | 0.5 mi']",Manchester
Roper Court,"Ancoats, Manchester, Manchester, M4 6GG","['Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in Manchester, Roper Court is a build-to-rent that offers attractive, convenient accommodations and beautiful green communal space.",,,1500.0,,,"['Manchester Piccadilly Train Station | 0.6 mi', 'Manchester Victoria | 0.7 mi']",Manchester
Mansion House,"15 Finders Quay, Manchester, Manchester, M4 6AB","['Pet friendly', 'Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage']","Located in Manchester, Mansion House is a build-to-rent that offers spacious living areas, good transportation and convenient amenities.",,1600.0,,,,"['Manchester Piccadilly Train Station | 0.6 mi', 'Manchester Victoria | 0.9 mi']",Manchester
Flint Glass Wharf,"11 Blossom Street, Manchester, Manchester, M4 6AD","['Furnished', 'Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage']","Located in Manchester, Flint Glass Wharf is a build-to-rent that promises a full and exciting life for tenants.",945.0,1050.0,,,,"['Manchester Piccadilly Train Station | 0.4 mi', 'Manchester Victoria | 0.5 mi']",Manchester
"NQ4, Bengal Street","2A Naval Street, Manchester, Manchester, M4 6BA","['Furnished', 'Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage']","Located in Manchester, NQ4, Bengal Street is a build-to-rent that offers generous living areas, beneficial amenities and access to public transport.",725.0,,1325.0,,,"['Manchester Piccadilly Train Station | 0.6 mi', 'Manchester Victoria | 0.7 mi']",Manchester
Popworks,"164 Oldham Rd, Manchester, Manchester, M4 6BQ","['Onsite management', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in Manchester, Popworks is a build-to-rent that promises safety, support and additional benefits for tenants.",900.0,,,,,"['Manchester Victoria | 0.7 mi', 'Manchester Piccadilly Train Station | 0.7 mi']",Manchester
Edward House,"32 Edward Street, Stockport, Stockport, SK1 3DQ","['Pet friendly', 'Parking', 'Parcel collection & storage', 'Lifts', 'CCTV']",Edward House is a build-to-rent in Stockport which strikes a balance between modern-day standardised amenities and open spaces for personality.,675.0,750.0,,,,"['Stockport | 0.2 mi', 'Davenport | 1.1 mi']",Manchester
"Ivy House, Failsworth","Ridgefield Street, Oldham, Manchester, M35 0HJ","['Pet friendly', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in Manchester, Ivy House, Failsworth is a build-to-rent that offers attractive, convenient accommodations and beneficial amenities.",815.0,,,,,[],Manchester
Mandale House,"Wellington Road, Stockport, Stockport, SK4 1LS","['Pet friendly', 'Parking', 'Parcel collection & storage', 'Lifts', 'CCTV']","Located in Stockport, Mandale House is a build-to-rent with great traffic connections, modern amenities and an elegant design.",825.0,860.0,,,,"['Stockport | 0.1 mi', 'Davenport | 1.2 mi']",Manchester
Merchants Place,"River Street, Bolton, Bolton, BL2 1BX","['Pet friendly', 'Parking', 'Parcel collection & storage', 'Bike storage', 'Lifts']","Located in Bolton, Merchants Place is a build-to-rent that understands that a well-lived life starts at home.",800.0,,,,,['Bolton | 0.3 mi'],Manchester
